日期,价格,成交额
20211116,148.86,3507109.97
20211117,152.83,3025594.67
20211118,153.97,3705787.51
20211119,157.17,5845362.16
20211122,158.51,5266732.64
20211123,158.14,4147055.48
20211124,158.47,3822453.94
20211125,160.26,3018884.65
20211126,160.8,2935423.98
20211129,160.07,3102352.41
20211130,159.66,3130655.72
20211201,157.25,3481102.02
20211202,157.77,4022604.98
20211203,159.09,4245352.25
20211206,156,5698213.98
20211207,156.54,7372644.53
