日期,价格,成交额
20211102,3371.53,1252756.89
20211103,3320.01,820201.77
20211104,3434.49,1203699.45
20211105,3445.78,1009844.81
20211108,3447.62,700429.87
20211109,3402.74,633394.14
20211110,3336.73,686810.12
20211111,3349.22,653329.44
20211112,3326.55,754874.15
20211115,3316.55,656476.76
20211116,3437.3,1122980.16
20211117,3411.71,731748.86
20211118,3419.91,582691.28
20211119,3475.99,913474.53
20211122,3514.97,1161369.05
20211123,3551.72,929332.48
20211124,3640.45,1466018.75
20211125,3640.78,1000729.8
20211126,3629.07,787667.61
20211129,3684.76,844465.39
20211130,3596.43,913093.82
20211201,3614.34,719361.81
20211202,3637.43,724418.58
20211203,3728.52,1253138.92
20211206,3709.09,1026375.56
20211207,3691.54,1089820.62
