ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603369.SH,20211207,57.0,58.25,55.98,56.39,56.68,-0.29,-0.5116,132852.99,758651.829
603369.SH,20211206,56.82,57.34,55.85,56.68,56.82,-0.14,-0.2464,87644.75,497002.134
603369.SH,20211203,56.18,57.15,55.88,56.82,55.9,0.92,1.6458,124800.69,707850.084
603369.SH,20211202,56.43,57.34,55.68,55.9,56.46,-0.56,-0.9919,78256.81,440147.575
603369.SH,20211201,57.4,57.78,55.71,56.46,56.45,0.01,0.0177,84982.24,479481.86
603369.SH,20211130,58.11,58.49,55.58,56.45,57.83,-1.38,-2.3863,120709.96,680963.851
603369.SH,20211129,57.15,58.2,55.87,57.83,57.85,-0.02,-0.0346,112740.28,644780.458
603369.SH,20211126,59.35,59.48,57.44,57.85,59.48,-1.63,-2.7404,117052.63,680258.045
603369.SH,20211125,60.0,61.25,59.35,59.48,60.09,-0.61,-1.0151,85607.0,512848.301
603369.SH,20211124,59.68,61.57,58.69,60.09,59.88,0.21,0.3507,86094.4,517369.882
603369.SH,20211123,59.77,61.18,58.97,59.88,59.88,0.0,0.0,93470.34,563334.718
603369.SH,20211122,58.0,61.7,57.89,59.88,58.85,1.03,1.7502,125562.33,758835.174
603369.SH,20211119,57.52,60.16,57.2,58.85,57.55,1.3,2.2589,103872.24,612517.469
603369.SH,20211118,56.65,57.96,55.91,57.55,56.72,0.83,1.4633,89338.36,511901.679
603369.SH,20211117,55.66,57.86,55.07,56.72,56.63,0.09,0.1589,115945.5,654442.249
603369.SH,20211116,52.66,57.42,52.52,56.63,52.83,3.8,7.1929,143332.67,799624.745
603369.SH,20211115,52.5,53.31,52.08,52.83,52.55,0.28,0.5328,79633.62,420340.068
603369.SH,20211112,53.55,53.88,51.98,52.55,53.23,-0.68,-1.2775,86882.34,458149.016
603369.SH,20211111,53.43,53.9,52.3,53.23,53.53,-0.3,-0.5604,82301.8,436507.919
