ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601229.SH,20211207,7.21,7.22,7.17,7.2,7.17,0.03,0.4184,233322.26,167874.374
601229.SH,20211206,7.19,7.22,7.17,7.17,7.18,-0.01,-0.1393,228260.29,164115.74
601229.SH,20211203,7.19,7.22,7.14,7.18,7.19,-0.01,-0.1391,251711.07,180539.478
601229.SH,20211202,7.19,7.21,7.16,7.19,7.19,0.0,0.0,163964.56,117820.194
601229.SH,20211201,7.15,7.19,7.14,7.19,7.15,0.04,0.5594,147550.41,105838.847
601229.SH,20211130,7.17,7.2,7.14,7.15,7.17,-0.02,-0.2789,245185.73,175483.129
601229.SH,20211129,7.17,7.2,7.16,7.17,7.19,-0.02,-0.2782,145003.65,104043.537
601229.SH,20211126,7.23,7.24,7.19,7.19,7.22,-0.03,-0.4155,140712.63,101407.26
601229.SH,20211125,7.24,7.24,7.22,7.22,7.23,-0.01,-0.1383,84647.68,61206.738
601229.SH,20211124,7.24,7.26,7.22,7.23,7.25,-0.02,-0.2759,107191.52,77573.292
601229.SH,20211123,7.23,7.26,7.22,7.25,7.22,0.03,0.4155,166312.72,120321.61
601229.SH,20211122,7.26,7.26,7.21,7.22,7.25,-0.03,-0.4138,141536.87,102281.53
601229.SH,20211119,7.22,7.26,7.21,7.25,7.21,0.04,0.5548,120408.33,87074.966
601229.SH,20211118,7.25,7.25,7.21,7.21,7.24,-0.03,-0.4144,124449.02,89946.72
601229.SH,20211117,7.27,7.28,7.23,7.24,7.27,-0.03,-0.4127,113640.89,82399.849
601229.SH,20211116,7.25,7.31,7.24,7.27,7.28,-0.01,-0.1374,153821.08,111888.219
601229.SH,20211115,7.25,7.29,7.23,7.28,7.27,0.01,0.1376,123070.57,89516.794
601229.SH,20211112,7.27,7.29,7.22,7.27,7.28,-0.01,-0.1374,130410.2,94575.122
601229.SH,20211111,7.22,7.29,7.21,7.28,7.23,0.05,0.6916,142170.85,103272.399
601229.SH,20211110,7.25,7.25,7.2,7.23,7.24,-0.01,-0.1381,132972.92,96043.111
601229.SH,20211109,7.23,7.27,7.21,7.24,7.22,0.02,0.277,86428.58,62609.836
601229.SH,20211108,7.23,7.26,7.2,7.22,7.25,-0.03,-0.4138,89031.37,64390.682
601229.SH,20211105,7.24,7.27,7.23,7.25,7.25,0.0,0.0,83192.38,60292.619
601229.SH,20211104,7.27,7.29,7.24,7.25,7.28,-0.03,-0.4121,115612.43,83864.355
601229.SH,20211103,7.27,7.3,7.25,7.28,7.29,-0.01,-0.1372,112659.36,81954.768
601229.SH,20211102,7.36,7.38,7.25,7.29,7.36,-0.07,-0.9511,218969.74,160226.236
601229.SH,20211101,7.3,7.37,7.24,7.36,7.29,0.07,0.9602,232588.41,170533.368
601229.SH,20211029,7.35,7.36,7.28,7.29,7.32,-0.03,-0.4098,225106.62,164527.991
601229.SH,20211028,7.37,7.39,7.28,7.32,7.41,-0.09,-1.2146,196422.41,143808.412
601229.SH,20211027,7.5,7.51,7.36,7.41,7.5,-0.09,-1.2,219949.08,163155.554
601229.SH,20211026,7.52,7.56,7.48,7.5,7.51,-0.01,-0.1332,126916.29,95339.068
601229.SH,20211025,7.53,7.53,7.45,7.51,7.53,-0.02,-0.2656,143136.54,107263.709
601229.SH,20211022,7.5,7.55,7.48,7.53,7.49,0.04,0.534,196423.41,147657.602
601229.SH,20211021,7.47,7.53,7.44,7.49,7.45,0.04,0.5369,258524.77,193605.417
601229.SH,20211020,7.45,7.5,7.39,7.45,7.43,0.02,0.2692,160975.96,119662.054
601229.SH,20211019,7.43,7.48,7.42,7.43,7.44,-0.01,-0.1344,119544.79,89015.733
601229.SH,20211018,7.44,7.46,7.4,7.44,7.45,-0.01,-0.1342,138077.32,102650.43
601229.SH,20211015,7.5,7.5,7.42,7.45,7.46,-0.01,-0.134,141660.2,105703.212
601229.SH,20211014,7.48,7.52,7.44,7.46,7.46,0.0,0.0,90009.81,67262.039
601229.SH,20211013,7.47,7.53,7.44,7.46,7.5,-0.04,-0.5333,129268.15,96748.48
601229.SH,20211012,7.51,7.54,7.46,7.5,7.52,-0.02,-0.266,180508.78,135386.381
601229.SH,20211011,7.45,7.59,7.45,7.52,7.45,0.07,0.9396,221233.24,166330.623
601229.SH,20211008,7.36,7.48,7.35,7.45,7.31,0.14,1.9152,221401.22,164241.01
601229.SH,20210930,7.32,7.33,7.29,7.31,7.33,-0.02,-0.2729,124081.33,90748.217
601229.SH,20210929,7.27,7.35,7.23,7.33,7.3,0.03,0.411,184583.91,134589.865
