ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600036.SH,20211207,52.29,52.58,51.1,51.84,51.82,0.02,0.0386,540773.71,2797815.012
600036.SH,20211206,51.49,52.4,51.33,51.82,51.25,0.57,1.1122,604716.43,3140183.373
600036.SH,20211203,51.07,51.28,50.47,51.25,50.89,0.36,0.7074,494076.47,2518566.499
600036.SH,20211202,50.01,51.0,49.49,50.89,49.99,0.9,1.8004,556070.48,2814606.846
600036.SH,20211201,49.48,50.2,49.28,49.99,49.49,0.5,1.0103,500361.03,2498326.167
600036.SH,20211130,49.48,49.85,48.91,49.49,49.82,-0.33,-0.6624,610042.56,3008854.122
600036.SH,20211129,49.78,50.1,48.82,49.82,50.1,-0.28,-0.5589,827247.04,4081227.201
600036.SH,20211126,51.2,51.45,49.88,50.1,51.42,-1.32,-2.5671,823357.31,4141774.917
600036.SH,20211125,51.7,51.7,51.24,51.42,51.74,-0.32,-0.6185,215660.2,1107928.517
600036.SH,20211124,51.59,51.9,51.17,51.74,51.75,-0.01,-0.0193,315039.65,1622099.211
600036.SH,20211123,51.75,52.3,51.44,51.75,51.69,0.06,0.1161,389148.91,2014132.978
600036.SH,20211122,52.1,52.34,51.59,51.69,52.33,-0.64,-1.223,376538.34,1952025.765
600036.SH,20211119,51.48,52.74,51.11,52.33,51.41,0.92,1.7895,464667.97,2419758.611
600036.SH,20211118,51.8,52.0,51.0,51.41,51.84,-0.43,-0.8295,342442.67,1762554.164
600036.SH,20211117,52.22,52.83,51.81,51.84,52.5,-0.66,-1.2571,339385.51,1768981.458
600036.SH,20211116,52.9,53.38,52.16,52.5,52.93,-0.43,-0.8124,322315.09,1699581.537
600036.SH,20211115,52.79,53.61,52.37,52.93,52.4,0.53,1.0115,366950.32,1941710.247
600036.SH,20211112,52.82,53.18,52.25,52.4,52.82,-0.42,-0.7952,343596.56,1807134.405
600036.SH,20211111,50.55,52.87,50.46,52.82,50.63,2.19,4.3255,849731.7,4430680.097
600036.SH,20211110,51.06,51.15,50.04,50.63,51.06,-0.43,-0.8421,558071.06,2812533.072
600036.SH,20211109,51.4,51.7,50.6,51.06,51.3,-0.24,-0.4678,387883.64,1979827.705
600036.SH,20211108,51.32,51.9,50.8,51.3,51.56,-0.26,-0.5043,386749.06,1984383.358
600036.SH,20211105,51.72,52.11,51.42,51.56,51.75,-0.19,-0.3671,361974.16,1871325.317
600036.SH,20211104,52.0,52.1,51.28,51.75,51.7,0.05,0.0967,482914.75,2492815.499
600036.SH,20211103,52.35,52.49,51.67,51.7,52.25,-0.55,-1.0526,444372.41,2312474.223
600036.SH,20211102,54.35,54.49,51.67,52.25,54.12,-1.87,-3.4553,752206.49,3957181.527
600036.SH,20211101,54.0,54.9,53.3,54.12,53.97,0.15,0.2779,425017.81,2300857.413
600036.SH,20211029,54.22,54.75,53.7,53.97,54.22,-0.25,-0.4611,405439.43,2197661.117
600036.SH,20211028,54.3,55.0,53.85,54.22,54.52,-0.3,-0.5503,346232.28,1883008.799
600036.SH,20211027,55.2,55.2,53.83,54.52,55.3,-0.78,-1.4105,420394.41,2287323.386
600036.SH,20211026,54.59,56.23,54.3,55.3,54.59,0.71,1.3006,715423.69,3961794.95
600036.SH,20211025,53.83,54.93,53.1,54.59,54.29,0.3,0.5526,623341.26,3376970.796
600036.SH,20211022,54.09,54.8,53.73,54.29,53.75,0.54,1.0047,547150.58,2967094.16
600036.SH,20211021,52.85,54.0,52.6,53.75,52.4,1.35,2.5763,576586.98,3084324.265
600036.SH,20211020,53.21,53.64,52.28,52.4,52.88,-0.48,-0.9077,305709.59,1612336.024
600036.SH,20211019,52.25,53.32,52.0,52.88,51.86,1.02,1.9668,481692.57,2545615.998
600036.SH,20211018,53.31,53.35,51.55,51.86,53.31,-1.45,-2.7199,577945.39,3008070.372
600036.SH,20211015,52.45,53.44,52.35,53.31,52.36,0.95,1.8144,420357.59,2230147.908
600036.SH,20211014,52.99,53.25,52.2,52.36,53.03,-0.67,-1.2634,288996.21,1518009.834
600036.SH,20211013,52.95,53.4,52.05,53.03,53.09,-0.06,-0.113,442556.73,2335530.448
600036.SH,20211012,52.7,53.79,52.3,53.09,53.0,0.09,0.1698,589373.29,3129716.165
600036.SH,20211011,51.44,54.18,51.44,53.0,50.93,2.07,4.0644,971778.65,5171368.866
600036.SH,20211008,50.02,51.08,50.02,50.93,50.45,0.48,0.9514,645552.92,3266919.267
600036.SH,20210930,51.4,51.43,50.1,50.45,51.56,-1.11,-2.1528,586118.08,2960621.631
600036.SH,20210929,49.95,52.17,49.61,51.56,50.42,1.14,2.261,904609.86,4619317.49
600036.SH,20210928,49.1,50.98,49.09,50.42,49.09,1.33,2.7093,709925.47,3562616.329
600036.SH,20210927,48.29,49.8,48.21,49.09,48.77,0.32,0.6561,667905.15,3265832.147
600036.SH,20210924,48.45,49.33,48.4,48.77,48.84,-0.07,-0.1433,532039.33,2596408.378
600036.SH,20210923,49.5,50.53,48.61,48.84,49.41,-0.57,-1.1536,861024.53,4246316.974
600036.SH,20210922,48.68,49.98,48.1,49.41,51.25,-1.84,-3.5902,1122596.22,5492053.805
600036.SH,20210917,50.78,51.54,50.5,51.25,50.7,0.55,1.0848,420164.72,2143690.281
600036.SH,20210916,51.23,51.83,50.21,50.7,51.4,-0.7,-1.3619,629896.14,3193865.17
600036.SH,20210915,52.0,52.49,50.8,51.4,52.1,-0.7,-1.3436,542337.93,2799380.278
600036.SH,20210914,54.3,54.89,51.8,52.1,53.92,-1.82,-3.3754,631165.69,3336827.188
600036.SH,20210913,53.67,54.5,53.5,53.92,54.12,-0.2,-0.3695,592830.43,3202583.507
600036.SH,20210910,52.0,54.52,51.75,54.12,52.1,2.02,3.8772,1070977.99,5766878.119
600036.SH,20210909,52.1,52.68,51.68,52.1,52.41,-0.31,-0.5915,357800.25,1863278.532
600036.SH,20210908,52.72,53.55,52.26,52.41,52.81,-0.4,-0.7574,553906.68,2921088.035
600036.SH,20210907,51.29,53.08,50.45,52.81,51.2,1.61,3.1445,772320.09,4026086.396
600036.SH,20210906,51.51,52.75,51.18,51.2,52.0,-0.8,-1.5385,547428.47,2830673.161
600036.SH,20210903,51.7,52.33,50.41,52.0,51.6,0.4,0.7752,642573.32,3321589.086
600036.SH,20210902,50.69,51.88,50.3,51.6,50.79,0.81,1.5948,726200.98,3729206.237
600036.SH,20210901,48.88,50.95,48.6,50.79,48.96,1.83,3.7377,826055.36,4129767.782
600036.SH,20210831,48.45,49.45,47.85,48.96,48.45,0.51,1.0526,710440.24,3451030.103
600036.SH,20210830,50.35,50.35,47.61,48.45,50.35,-1.9,-3.7736,1079682.02,5224229.635
600036.SH,20210827,49.7,50.82,49.5,50.35,49.6,0.75,1.5121,386141.76,1942863.649
600036.SH,20210826,51.93,51.93,49.48,49.6,51.43,-1.83,-3.5582,763035.07,3825334.082
600036.SH,20210825,52.58,52.71,51.21,51.43,52.2,-0.77,-1.4751,407380.77,2107816.696
600036.SH,20210824,52.02,52.85,51.01,52.2,51.89,0.31,0.5974,528276.9,2748379.141
600036.SH,20210823,51.48,52.87,51.21,51.89,51.03,0.86,1.6853,539017.21,2806624.18
600036.SH,20210820,51.74,52.57,49.9,51.03,51.58,-0.55,-1.0663,693764.73,3537372.069
600036.SH,20210819,52.8,53.1,51.36,51.58,53.14,-1.56,-2.9356,676300.59,3515991.219
600036.SH,20210818,49.99,53.57,49.92,53.14,49.62,3.52,7.0939,1231242.36,6434458.385
600036.SH,20210817,50.87,51.4,49.52,49.62,50.87,-1.25,-2.4572,603231.96,3044300.923
600036.SH,20210816,51.2,51.24,49.5,50.87,51.18,-0.31,-0.6057,744139.69,3770118.258
600036.SH,20210813,50.71,51.35,50.31,51.18,50.68,0.5,0.9866,467404.7,2379825.404
600036.SH,20210812,50.7,51.5,50.41,50.68,50.9,-0.22,-0.4322,397182.45,2021030.379
600036.SH,20210811,50.21,51.77,50.0,50.9,50.21,0.69,1.3742,568554.59,2905233.228
600036.SH,20210810,49.08,50.53,48.56,50.21,49.06,1.15,2.3441,663575.48,3291349.066
600036.SH,20210809,47.58,50.0,47.58,49.06,47.59,1.47,3.0889,730430.2,3599567.2
600036.SH,20210806,46.47,47.8,46.1,47.59,46.75,0.84,1.7968,507557.57,2392067.817
600036.SH,20210805,46.68,47.3,46.09,46.75,47.0,-0.25,-0.5319,442303.11,2070051.63
600036.SH,20210804,47.58,47.95,46.8,47.0,47.59,-0.59,-1.2398,511499.88,2410938.956
600036.SH,20210803,47.6,48.1,46.95,47.59,47.71,-0.12,-0.2515,518758.28,2456399.176
600036.SH,20210802,46.8,48.22,45.21,47.71,46.5,1.21,2.6022,836146.84,3925085.945
